PMCID,pdf_url
PMC11925113, https://pmc.ncbi.nlm.nih.gov/articles/PMC11925113/pdf/KAUP_21_2429371.pdf
PMC11850712, https://pmc.ncbi.nlm.nih.gov/articles/PMC11850712/pdf/41467_2025_Article_57245.pdf
PMC11910654, https://pmc.ncbi.nlm.nih.gov/articles/PMC11910654/pdf/41467_2025_Article_57384.pdf
PMC11486831, https://pmc.ncbi.nlm.nih.gov/articles/PMC11486831/pdf/JCB_202312141.pdf
PMC11791544, https://pmc.ncbi.nlm.nih.gov/articles/PMC11791544/pdf/cmh-2024-0478.pdf
PMC11702951, https://pmc.ncbi.nlm.nih.gov/articles/PMC11702951/pdf/KAUP_21_2394308.pdf
PMC12005806, https://pmc.ncbi.nlm.nih.gov/articles/PMC12005806/pdf/ADVS-12-2406786.pdf
PMC11849941, https://pmc.ncbi.nlm.nih.gov/articles/PMC11849941/pdf/KAUP_21_2409613.pdf
PMC12069581, https://pmc.ncbi.nlm.nih.gov/articles/PMC12069581/pdf/44319_2025_Article_425.pdf
PMC11887212, https://pmc.ncbi.nlm.nih.gov/articles/PMC11887212/pdf/13045_2025_Article_1680.pdf
PMC11957706, https://pmc.ncbi.nlm.nih.gov/articles/PMC11957706/pdf/jci-135-178550.pdf
PMC11957692, https://pmc.ncbi.nlm.nih.gov/articles/PMC11957692/pdf/jci-135-175972.pdf
PMC11727373, https://pmc.ncbi.nlm.nih.gov/articles/PMC11727373/pdf/ADVS-12-2404107.pdf
PMC11759523, https://pmc.ncbi.nlm.nih.gov/articles/PMC11759523/pdf/KAUP_21_2395134.pdf
PMC11840116, https://pmc.ncbi.nlm.nih.gov/articles/PMC11840116/pdf/41467_2025_Article_56967.pdf
PMC11702962, https://pmc.ncbi.nlm.nih.gov/articles/PMC11702962/pdf/KAUP_21_2423329.pdf
PMC11759625, https://pmc.ncbi.nlm.nih.gov/articles/PMC11759625/pdf/KAUP_21_2404375.pdf
PMC11933340, https://pmc.ncbi.nlm.nih.gov/articles/PMC11933340/pdf/41467_2025_Article_57873.pdf
PMC11809379, https://pmc.ncbi.nlm.nih.gov/articles/PMC11809379/pdf/ADVS-12-2406200.pdf
PMC11760280, https://pmc.ncbi.nlm.nih.gov/articles/PMC11760280/pdf/KAUP_21_2395725.pdf
PMC11821526, https://pmc.ncbi.nlm.nih.gov/articles/PMC11821526/pdf/41586_2024_Article_8475.pdf
PMC11841168, https://pmc.ncbi.nlm.nih.gov/articles/PMC11841168/pdf/IRNF_47_2458761.pdf
PMC11925109, https://pmc.ncbi.nlm.nih.gov/articles/PMC11925109/pdf/KAUP_21_2435236.pdf
PMC11788441, https://pmc.ncbi.nlm.nih.gov/articles/PMC11788441/pdf/41467_2025_Article_56633.pdf
PMC11982199, https://pmc.ncbi.nlm.nih.gov/articles/PMC11982199/pdf/44321_2025_Article_206.pdf
PMC11967773, https://pmc.ncbi.nlm.nih.gov/articles/PMC11967773/pdf/ADVS-12-2414073.pdf
PMC11806099, https://pmc.ncbi.nlm.nih.gov/articles/PMC11806099/pdf/41467_2025_Article_56737.pdf
PMC11849922, https://pmc.ncbi.nlm.nih.gov/articles/PMC11849922/pdf/KAUP_21_2407709.pdf
PMC11898290, https://pmc.ncbi.nlm.nih.gov/articles/PMC11898290/pdf/thnov15p2991.pdf
PMC11847474, https://pmc.ncbi.nlm.nih.gov/articles/PMC11847474/pdf/main.pdf
